"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,0.00925831140928469,4.36168225285943,0.0403818125653231
1999,1,1,0.0795835244588034,4.18726309297864,0.33323715477551
2000,1,1,0.00347812683758546,4.41173405579993,0.0153445706197675
2001,1,1,0.0330969480200414,4.46383120683352,0.147739189422808
2002,1,1,0.0888635693559678,4.3472875321412,0.386315487122763
2003,1,1,0.0929390484756556,4.33773084362321,0.403144577149844
2004,1,1,0.0278879097645981,4.41199150779067,0.123041221051439
2005,1,1,0.00773081357440764,4.42172462742963,0.0341835287720255
2006,1,1,0.0661047779717592,4.31013198085209,0.284920317623206
2007,1,1,0.00279375674474929,4.39868828551175,0.0122888650656981
2008,1,1,0.00344288401074906,4.39471515336587,0.01513049453332
2009,1,1,0.000939826644283863,4.47216897336421,0.00420306355890729
2010,1,1,0.0341949357327642,4.01159517351921,0.137176239144357
2011,1,1,0.123516826154973,3.90761714440936,0.482656467506202
2012,1,1,0.377479711469798,3.97197396625236,1.49933958674649
2013,1,1,0.313234144218109,4.02129507554148,1.25960692163573
2014,1,1,0.236195679329568,4.08452626335321,0.964747455512174
2015,1,1,0.369290706899678,3.94495412804904,1.45683489863403
2016,1,1,0.0464106683304649,4.18799888187497,0.194367827075057
2017,1,1,0.0344749635653341,4.30905555136615,0.148554533134348
2018,1,1,0.685800558342728,4.37237570615339,2.99857770056418
2019,1,1,3.91837635907963,4.37158150787384,17.1295016322425
1998,1,2,0.00892333744782932,4.38894750904092,0.0391640596639821
1999,1,2,0.0745325124509123,4.23020409438474,0.315287739334631
2000,1,2,0.00328721242817725,4.4495047705143,0.0146264673808686
2001,1,2,0.0308658003240052,4.51025828372655,0.139212731595194
2002,1,2,0.0844240092927679,4.38181326043061,0.369930243417768
2003,1,2,0.087343789676232,4.38463518859414,0.382970653719572
2004,1,2,0.026325859796851,4.45145917019201,0.117188490005881
2005,1,2,0.007387571666486,4.45089628593023,0.0328813152924059
2006,1,2,0.0604967836034997,4.36920232332061,0.264322687473835
2007,1,2,0.00267015903094447,4.42882362644018,0.0118256634025995
2008,1,2,0.00328672105306769,4.42377594544548,0.0145397175339501
2009,1,2,0.000894506310358571,4.50225029010766,0.00402729129531501
2010,1,2,0.0299502959446779,4.0575022946318,0.121523394520432
2011,1,2,0.122460037518797,3.90957349710451,0.478766517137915
2012,1,2,0.369575185080805,3.97933082945546,1.47066192779375
2013,1,2,0.308126117898892,4.02677769315883,1.24075537823489
2014,1,2,0.194304286448641,4.14488517022978,0.805368955413047
2015,1,2,0.34293794105394,3.96009441589478,1.35806662536616
2016,1,2,0.0407335439729676,4.2639973532536,0.173687723689373
2017,1,2,0.0327016133337367,4.34430305536557,0.142065718721136
2018,1,2,0.659727882243662,4.39836523993441,2.90172418507606
2019,1,2,3.73267695944408,4.40246515770842,16.4329802589335
1998,1,3,0.000271451599781596,4.00020367291874,0.00108586168646601
1999,1,3,0.00489977915169037,3.91631577254909,0.0191890823737721
2000,1,3,0.000185273352847743,4.10982092666443,0.000761440302686934
2001,1,3,0.00219208191224884,4.14461564762853,0.00908533699438993
2002,1,3,0.00421682184961584,4.05200249008376,0.0170865726348831
2003,1,3,0.00455036324506807,3.98515375719556,0.0181338971826875
2004,1,3,0.00148730909062471,4.07662294432943,0.00606319836415043
2005,1,3,0.000329971568858102,4.15153832148397,0.0013698896131146
2006,1,3,0.00541991416829131,4.01269244931413,0.0217484486590331
2007,1,3,0.000109473894804563,4.13144950393272,0.000452285868383899
2008,1,3,0.00014566413286355,4.16552660212235,0.0006067678204182
2009,1,3,4.34173210529756e-05,4.24702702162446,0.000184394535718531
2010,1,3,0.0040259192299373,3.77395037366036,0.0151936193821483
2011,1,3,0.000967540020179854,3.78893670930437,0.00366594790018053
2012,1,3,0.00783430452196566,3.71678568523547,0.0291184309010175
2013,1,3,0.00507579332705724,3.81559191556977,0.0193671559838226
2014,1,3,0.0412200672858574,3.87574324338801,0.159758397275161
2015,1,3,0.0257991213915257,3.84290453301789,0.099143560543373
2016,1,3,0.00491133884170765,3.926310428821,0.0192834409136705
2017,1,3,0.0016358205046668,4.04323319023025,0.00661400375772795
2018,1,3,0.0244226116024301,4.0622388707592,0.0992104821768459
2019,1,3,0.173888028817632,4.11750463967241,0.715984765440094
1998,1,4,6.35223616737754e-05,3.83552960701033,0.000243641898906985
1999,1,4,0.000151232856200687,3.45425016371704,0.000522396118290619
2000,1,4,5.64105656047066e-06,3.89263085255568,2.19585508082998e-05
2001,1,4,3.90657837873515e-05,3.89547130935909,0.000152179639921255
2002,1,4,0.000222738213584016,3.64629976013786,0.000812170294764926
2003,1,4,0.00104489555435555,3.63762033399522,0.00380093331542494
2004,1,4,7.47408771223698e-05,3.87969478586937,0.000289971791262961
2005,1,4,1.3270339063536e-05,3.86483225862853,5.12876344956917e-05
2006,1,4,0.00018808019996827,3.60741231645414,0.000678482829846693
2007,1,4,1.41238190002579e-05,3.82877368757906,5.40769065563165e-05
2008,1,4,1.04988248178141e-05,3.78512227471092,3.97393356761957e-05
2009,1,4,1.90301287231552e-06,3.86965026499303,7.36399426564086e-06
2010,1,4,0.00021872055814902,3.70295675326774,0.000809912767876401
2011,1,4,8.92486159954273e-05,3.67704540790919,0.000328171213608229
2012,1,4,7.02218670276948e-05,3.58721276169209,0.000251900777551592
2013,1,4,3.22329921598726e-05,3.82967736116765,0.000123441960357357
2014,1,4,0.000671325595069588,3.67356378363688,0.00246615739307611
2015,1,4,0.000553644454213039,3.88156163177014,0.00214900507111565
2016,1,4,0.000765785515789688,3.70936499840287,0.00284057798855413
2017,1,4,0.000137529726930501,3.59590510063071,0.000494543846557737
2018,1,4,0.00165006449663667,3.86557976199614,0.00637845592418706
2019,1,4,0.0118113708179175,3.81211886622774,0.0450263495309952
