"","V1","V2"
"eps_c_y",-0.262668708057079,0.750119295038925
"eps_c_y",-0.170240636950095,0.724288000031891
"eps_c_y",-0.148837942512405,0.735773643919448
"eps_c_y",-0.033287385696259,0.716570855393143
"eps_c_y",0.0493676220192273,0.725630970117071
"eps_c_y",0.0615001754524707,0.734791563848075
"eps_c_y",-0.096654838201941,0.741608588631087
"eps_c_y",-0.169678092578884,0.776126420851693
"eps_c_y",-0.240200056623464,0.81763211953821
"eps_c_y",-0.427591731138028,0.993354278111164
"eps_c_y",-0.437893458987131,1.00597454164216
"eps_c_y",-0.398025941629578,0.964141942401462
"eps_c_y",-0.279878919186991,0.847795624227654
"eps_c_y",-0.183876040818078,0.783373188630558
"eps_c_y",-0.0570957360932272,0.731939357465686
"eps_c_y",0.0780018613580934,0.723912828351148
"eps_c_y",0.301950696172309,0.820462700364773
"eps_c_y",0.36873931715124,0.86403846560007
"eps_c_y",0.312654838067519,0.813359640956718
"eps_c_y",0.430301818337099,0.899674879278709
"eps_c_y",0.592408876889629,1.04777094642693
"eps_c_y",0.792995288127223,1.2691127247492
